distance,elevation,from,to
91.11561671533222,725,TA00029,TA00025
52.15475254473681,587,TA00029,TA00026
134.37464420664,916,TA00029,TA00027
86.66242071944849,507,TA00029,TA00028
101.65922160239585,601,TA00029,TA00030
99.8022327354213,15,TA00029,TA00054
66.73590372988433,1147,TA00029,TA00056
88.82652245715252,887,TA00029,TA00057
149.25467861239392,555,TA00029,TA00061
254.02141259434683,802,TA00029,TA00064
217.4943425243434,957,TA00029,TA00065
85.42784795109483,527,TA00029,TA00066
184.0311119266463,1339,TA00029,TA00067
534.6944125296558,2391,TA00029,TA00068
536.9507886333722,2468,TA00029,TA00069
524.6309936292863,2280,TA00029,TA00070
545.2647774608104,2500,TA00029,TA00071
524.0007690464192,2509,TA00029,TA00072
61.318880992915375,683,TA00029,TA00073
54.62536925165711,801,TA00029,TA00074
183.15419741001983,1353,TA00029,TA00076
169.42136645640588,758,TA00029,TA00077
124.45144926991573,279,TA00030,TA00020
220.96602201929636,-24,TA00030,TA00021
278.7802782457075,1131,TA00030,TA00023
128.24032332479842,402,TA00030,TA00024
99.19510340059344,124,TA00030,TA00025
94.95689840515132,-14,TA00030,TA00026
234.61365035998372,315,TA00030,TA00027
188.20510055412274,-94,TA00030,TA00028
101.65922160239585,-601,TA00030,TA00029
96.83226466086587,-586,TA00030,TA00054
145.38353760660374,546,TA00030,TA00056
108.6188408582839,286,TA00030,TA00057
106.84602069795962,-46,TA00030,TA00061
248.03522427027795,201,TA00030,TA00064
192.15846853121596,356,TA00030,TA00065
87.68475661923173,-74,TA00030,TA00066
207.2943795652106,738,TA00030,TA00067
536.8803325825179,1790,TA00030,TA00068
538.5134153887255,1867,TA00030,TA00069
526.5992862868794,1679,TA00030,TA00070
546.8860998376196,1899,TA00030,TA00071
533.8154459002053,1908,TA00030,TA00072
162.3263094386551,82,TA00030,TA00073
143.97502608375208,200,TA00030,TA00074
137.80202446784642,752,TA00030,TA00076
121.05415966207902,157,TA00030,TA00077
201.50555548409383,865,TA00054,TA00020
126.92526901756749,562,TA00054,TA00021
350.9411240590921,1717,TA00054,TA00023
173.2067220664663,988,TA00054,TA00024
164.64260798405792,710,TA00054,TA00025
49.333905520934906,572,TA00054,TA00026
216.94453170593258,901,TA00054,TA00027
160.3939384522833,492,TA00054,TA00028
99.8022327354213,-15,TA00054,TA00029
96.83226466086587,586,TA00054,TA00030
166.4061570037433,1132,TA00054,TA00056
168.59020776904967,872,TA00054,TA00057
55.404683354986695,540,TA00054,TA00061
161.72012968834866,787,TA00054,TA00064
118.29091300891761,942,TA00054,TA00065
154.24091379163102,512,TA00054,TA00066
272.2582964445353,1324,TA00054,TA00067
617.5442822785202,2376,TA00054,TA00068
619.4902630837132,2453,TA00054,TA00069
607.322658732533,2265,TA00054,TA00070
627.8714203399563,2485,TA00054,TA00071
610.5166941295994,2494,TA00054,TA00072
135.2744944872857,668,TA00054,TA00073
153.96266052903377,786,TA00054,TA00074
86.239941654812,1338,TA00054,TA00076
75.16278359052299,743,TA00054,TA00077
108.28074560904459,-267,TA00056,TA00020
274.12912767457175,-570,TA00056,TA00021
210.37360201593557,585,TA00056,TA00023
40.484411835719534,-144,TA00056,TA00024
77.44714883340696,-422,TA00056,TA00025
118.75506967694723,-560,TA00056,TA00026
